sku,category,product_name,lp4_mode,price_usd,material_cost_usd,packaging_usd,etsy_fee_usd,labor_minutes,labor_cost_usd,total_unit_cost_usd,gross_profit_usd,gross_margin_pct,processing_days,personalization_required,rush_addon_usd,gift_wrap_addon_usd,core_keywords
TB-01,Tumbler,Personalized Stainless Tumbler Name Script,IR + Rotary,29.00,8.50,1.20,2.90,8,3.33,15.93,13.07,45.1,3-5,Yes,12.00,6.00,"personalized tumbler|engraved tumbler|name cup"
TB-02,Tumbler,Monogram Wedding Tumbler,IR + Rotary,32.00,9.00,1.20,3.20,9,3.75,17.15,14.85,46.4,3-5,Yes,12.00,6.00,"monogram tumbler|bridesmaid gift|wedding cup"
TB-03,Tumbler,Custom Logo Corporate Tumbler,IR + Rotary,36.00,10.50,1.40,3.60,10,4.17,19.67,16.33,45.4,4-6,Yes,15.00,8.00,"logo tumbler|corporate gift|branded cup"
TB-04,Tumbler,Couple Tumbler Set 2 Pack,IR + Rotary,64.00,18.00,2.50,6.40,16,6.67,33.57,30.43,47.5,4-6,Yes,15.00,8.00,"couple tumbler set|anniversary gift|matching tumblers"
TB-05,Tumbler,Groomsmen Tumbler Bundle 4 Pack,IR + Rotary,118.00,34.00,4.00,11.80,28,11.67,61.47,56.53,47.9,5-7,Yes,20.00,10.00,"groomsmen gift|wedding party gift|custom tumbler set"
TB-06,Tumbler,Teacher Appreciation Tumbler,IR + Rotary,31.00,9.00,1.20,3.10,9,3.75,17.05,13.95,45.0,3-5,Yes,12.00,6.00,"teacher gift|teacher tumbler|custom name cup"
CB-01,Board,Engraved Recipe Cutting Board Handwriting,Diode,59.00,18.00,2.50,5.90,14,5.83,32.23,26.77,45.4,4-6,Yes,15.00,8.00,"recipe cutting board|handwriting gift|engraved board"
CB-02,Board,Personalized Family Name Charcuterie Board,Diode,54.00,16.00,2.50,5.40,12,5.00,28.90,25.10,46.5,4-6,Yes,15.00,8.00,"charcuterie board|family name board|housewarming gift"
CB-03,Board,Realtor Closing Gift Cutting Board,Diode,69.00,20.00,3.00,6.90,15,6.25,36.15,32.85,47.6,5-7,Yes,20.00,10.00,"realtor closing gift|new home gift|custom board"
CB-04,Board,Housewarming Board and Coaster Set,Diode,84.00,25.00,3.50,8.40,20,8.33,45.23,38.77,46.2,5-7,Yes,20.00,10.00,"housewarming gift set|engraved board set|new home gift"
PT-01,Pet Tag,Personalized Pet ID Tag Double Sided,IR,16.00,2.00,0.80,1.60,5,2.08,6.48,9.52,59.5,2-4,Yes,10.00,4.00,"pet id tag|dog tag engraved|cat name tag"
PT-02,Pet Tag,QR Code Pet ID Tag,IR,18.00,2.20,0.80,1.80,6,2.50,7.30,10.70,59.4,2-4,Yes,10.00,4.00,"qr pet tag|personalized dog tag|pet safety tag"
PT-03,Pet Tag,Premium Shape Pet Tag Bone or Hex,IR,19.00,2.40,0.90,1.90,6,2.50,7.70,11.30,59.5,2-4,Yes,10.00,4.00,"premium pet tag|bone dog tag|engraved pet tag"
WD-01,Wedding,Bridal Compact Mirror Name and Date,IR,22.00,4.00,1.00,2.20,6,2.50,9.70,12.30,55.9,3-5,Yes,12.00,6.00,"bridal compact mirror|bridesmaid gift|wedding keepsake"
WD-02,Wedding,Wedding Favor Place Tags Set of 20,Diode,48.00,10.00,1.50,4.80,18,7.50,23.80,24.20,50.4,4-6,Yes,15.00,8.00,"wedding place tags|engraved favor tags|table name markers"
