"Date","Time","Event Name","Venue","Genre","Price","Ticket Link","Source"
"2026-03-27","12:00 PM - 12:00 AM","Ultra Music Festival 2026","Bayfront Park","Electronic / Dance","$399+","https://ultramusicfestival.com","Official"
"2026-03-25","10:00 PM - 6:00 AM","Defected Miami","The Ground","House","$60-$120","https://ra.co/events/2000000","RA"
"2026-03-26","12:00 PM - 10:00 PM","Drumcode Pool Party","Delano Beach Club","Techno","$50-$85","https://ra.co/events/2000001","RA"
"2026-03-24","2:00 PM - 10:00 PM","Anjunadeep Miami","The Deck at Island Gardens","Deep House / Progressive","$45-$75","https://ra.co/events/2000002","RA"
"2026-03-28","11:00 PM - 12:00 PM","Paradise (Jamie Jones)","Space","Tech House","$40-$80","https://clubspace.com","Venue"
"2026-03-27","11:00 PM - 12:00 PM","Masters at Work","Club Space","House / Classics","$50-$100","https://clubspace.com","Venue"
"2026-03-26","10:00 PM - 6:00 AM","Factory 93 Miami","Factory Town","Techno / House","$75-$150","https://factory93.com","Official"
"2026-03-25","11:00 PM - 5:00 AM","Shiba San @ Treehouse","Treehouse Miami","Tech House","$30-$60","https://ra.co/events/2000003","RA"
"2026-03-29","11:00 PM - 12:00 PM","Solomun +1","Club Space","Melodic House","$60-$120","https://clubspace.com","Venue"
"2026-03-27","12:00 PM - 8:00 PM","Spinnin' Sessions Pool Party","National Hotel Pool","EDM / Dance Pop","$40-$75","https://ra.co/events/2000004","RA"
