lead_id,business_name,segment,website,city_state,outreach_angle,offer,next_step
L001,Homepage Realty,realtor,https://www.homepagerealty.com/,Louisville KY,Closing gift bundles for agents and teams,Sample engraved closing board with logo,Send intro email + sample mockup
L002,simpler.realestate,realtor,https://www.allhomesnow.com/,Louisville KY,Client retention through personalized housewarming gifts,10% off first 10-board batch,Send DM + follow-up call
L003,We Sell Louisville,realtor,https://www.weselllouisville.com/,Louisville KY,Branded closing gifts to increase referral mentions,Starter kit for top agents,Send email with 3 mock concepts
L004,Keller Williams Louisville,realtor,https://kellerwilliamslouisville.com/,Louisville KY,Team-branded onboarding and client thank-you sets,Bulk tumbler + board package,Call office manager
L005,Crane Realtors,realtor,https://www.cranerealtors.com/,Louisville KY,Premium closing gifts for high-value buyers,Realtor logo engraved board pilot,Email brokerage contact form
L006,Christina Burton Events,wedding planner,https://christinaburtonevents.com/,Louisville KY,Vendor partner for bridal party engraving,Rush bridesmaid mirror package,Send partnership pitch email
L007,Makers House Creative,wedding planner,https://www.makershousecreative.com/,Louisville KY,Custom day-of details and favors,Co-branded planner referral package,Email with lookbook PDF
L008,Essential Details KY,wedding planner,https://www.essentialdetailsky.com/,Louisville KY,Wedding favor tags and bridal gifts,Preferred partner pricing tier,Contact form + Instagram DM
L009,Heleringer Events,wedding planner,https://www.heleringerevents.com/,Louisville KY,Luxury personalized keepsakes for clients,Premium wedding favor bundle,Email + sample photos
L010,The Woods at Cedar Springs,wedding venue,https://www.woodsatcedarsprings.com/,Louisville KY,Venue upsell add-on for couples,Per-wedding favor package menu,Call venue coordinator
L011,Hazelnut Farm Events,wedding venue,https://www.hazelnutfarmevents.com/,Louisville KY,Custom guest favors and signage tags,Starter favor set for styled shoot,Email venue/events contact
L012,The Henry Clay,event venue,https://thehenryclay.com/,Louisville KY,Corporate and wedding keepsake bundles,Venue partner wholesale pricing,Email events manager
L013,Pawfection Grooming Salon,pet groomer,https://pawfectionlouisville.com/,Louisville KY,Pet safety upsell at checkout,Co-branded pet ID tag offer,Visit + leave sample tags
L014,Woof Gang Bakery Plainview,pet retail/grooming,https://woofgangbakery.com/pages/locations/plainview,Louisville KY,Premium tag add-on at grooming counter,Wholesale pet tag starter pack,Call store manager
L015,Bark and Mane Northeast KY,pet groomer mobile,https://www.barkandmane.com/pet-groomers/louisville-northeast-ky/,Louisville KY,Mobile grooming add-on for tag safety,Custom route-ready pet tags,Email local franchise operator
L016,Jade's Pet Grooming,pet groomer,https://book.heygoldie.com/Jade-s-Pet-Grooming,Louisville KY,High-margin personalization add-on,20-tag trial batch,Text or booking form message
L017,Sandy's Pet Shop,pet retail,https://www.sandyspetshop.com/,Louisville KY,Retail counter impulse pet tag sales,Counter display + quick-turn tags,Visit store and pitch owner
L018,The Dog Shop KY,pet retail,https://www.thedogshopky.com/,Louisville KY,Boutique premium pet ID accessories,Premium shape tag line,Instagram DM + email
L019,Kentuckiana Mortgage Group,mortgage broker,https://www.kyinmortgage.com/,Louisville KY,Loan-closing gift kits for borrowers,Branded board + tumbler bundle,Email loan team lead
L020,First Fidelity Mortgage,mortgage broker,https://ffmlending.com/,Louisville KY,Referral growth via premium closing gifts,Pilot gift run for top loan officers,Call office + follow-up email
