City,Event Name,Date,Venue,Category,Audience,URL,Notes
Miami,Miami Rum Congress,"Feb 5-7, 2027",Miami Beach Convention Center,Rum / Spirits,Industry + Consumer,https://miamirumcongress.com,"Major rum event with seminars, grand tasting, flair competitions"
Miami,South Beach Wine & Food Festival (SOBEWFF),"Feb 25-28, 2027",Miami Beach (multiple venues),Wine / Spirits / Beer,Consumer + Industry,https://sobewff.org,"105+ events, 500+ experts, $46M raised. Major sponsorship opportunity"
Miami,Arte Agave Miami,"Apr 10, 2026","Sanctuary Mimo, Miami",Tequila / Mezcal,Consumer,https://arteagave.com,100+ premium tequilas and mezcals
Miami,Vinexpo Americas,"May 11-12, 2027",Miami Beach Convention Center,Wine / Spirits,Industry (Trade),https://vinexpoamericas.com,Major wine & spirits trade show for Americas
Miami,Americas Food & Beverage Show,Sep 2026 (TBD),Miami Beach Convention Center,All Beverage,Industry (Trade),https://americasfoodandbeverage.com,30th anniversary. International F&B trade show
Miami,Miami Champagne Week,"Sep 12, 2026",Miami (various),Champagne / Sparkling,Industry + Consumer,https://floridawineacademy.com,Champagne Specialist Certification + tastings
Miami,Tequila & Agave Expo,2026 (TBD),Miami,Tequila / Mezcal,Consumer,https://tequilaandagavefestival.ticketspice.com,"100+ agave spirit brands, food, mariachi"
Miami,Rum Renaissance Festival,"Nov 13-14, 2026",Coral Gables (Marriott),Rum,Consumer,https://rumrenaissance.com,Rum seminars + grand tasting. Long-running Miami event
Miami,F&B@Sea (Cruise Industry F&B),"Apr 7-8, 2027",Mana Wynwood Convention Center,All Beverage,Industry (Trade),https://seatradecruiseevents.com/fnbsea,Cruise line F&B sourcing event
Miami,Tales of the Cocktail Miami Edition,2026 (TBD),Miami,Cocktails / Spirits,Industry + Consumer,https://talesofthecocktail.org,"Satellite of New Orleans flagship. Bar pop-ups, parties"
Fort Lauderdale,Fort Lauderdale Beer Wine & Spirits Fest,"Mar 27, 2026",Fort Lauderdale,Beer / Wine / Spirits,Consumer,https://festivalguidesandreviews.com,Annual tasting festival
Fort Lauderdale,The Grand Tasting,"Jan 23, 2027",Las Olas Oceanside Park,Wine / Spirits,Consumer,https://eventbrite.com,Food & beverage tasting on the beach
Fort Lauderdale,Tequila Tasting Events (Ongoing),Various,Fort Lauderdale (various),Tequila,Consumer,https://eventbrite.com,Regular tequila tasting socials
Boca Raton,Boca Raton Wine & Food Festival,"Nov 21, 2026",Sanborn Square Park,Wine / Beer / Spirits,Consumer,https://bocaraton.com,"13th annual. Elegant culinary evening with fine dining, wine, craft beer"
Boca Raton,The Tequila Fest,2026 (TBD),Mizner Park Amphitheater,Tequila,Consumer,https://thetequilafest.com,All-inclusive tequila festival
Boca Raton,Artisans of Wine & Food,"Jan 14-17, 2027",The Boca Raton Resort,Wine,Consumer + Industry,https://artisansofwineandfood.com,"100+ Napa wineries, 20+ Michelin chefs"
Boca Raton,"Florida Tacos, Wings & Desserts Battle","Apr 24, 2027",Sanborn Square Park,Beer / Cocktails,Consumer,https://bocaraton.com,Food competition with beverage pairings
Palm Beach,"Beer, Wine & Spirits Summit","Jan 17-19, 2027",The Breakers Palm Beach,All Beverage,Industry,https://parkstreet.com/events,High-end industry summit at The Breakers
West Palm Beach,AltBev Expo West Palm '27,2027 (TBD),West Palm Beach,Alternative Beverage,Industry (Trade),https://eventeny.com/events/altbevexpo-28509,Innovative beverage expo for industry professionals
West Palm Beach,West Palm Beach Beer Fest,"Aug 22, 2026","Bryant Park, Lake Worth Beach",Beer,Consumer,https://eventbrite.com,Annual craft beer festival
Wellington,Bacon & Bourbon Fest,"Feb 14-15, 2026",Wellington Town Center,Bourbon / Whiskey,Consumer,https://baconbourbonfest.com,"Free event with bourbon bar, bacon, cigars"
Tampa,"Beer, Bourbon & BBQ Festival Tampa","Feb 13-14, 2026",Tampa,Beer / Bourbon,Consumer,https://beerandbourbon.com,"Two-day festival with BBQ, beer, bourbon"
Tampa,Florida Craft Beer Festival,"Mar 7, 2026",River Tower Park,Beer,Consumer,https://floridabrewers.org,200+ beers from 70 Florida breweries. Kicks off Tampa Bay Beer Week
Tampa,Tampa Bay Beer Week,Mar 2026 (week-long),Tampa Bay (various venues),Beer,Consumer + Industry,https://tampabaybeerweek.com,Week-long celebration of Tampa Bay beer culture
Tampa,Tampa Bay Wine & Food Festival,"Apr 7-10, 2027",Tampa Bay (various),Wine / Spirits / Beer,Consumer,https://tampabaywff.com,Spring celebration with local + national chefs
Tampa,Whiskey Riot Tampa Bay,2026 (TBD),Tampa Bay,Whiskey,Consumer,https://whiskeyriot.com/tampa-bay-fl,Whiskey tasting festival
Tampa,Uncorked: Tampa Wine Festival,"Mar 27, 2026",Tampa,Wine,Consumer,https://festivalguidesandreviews.com,Annual wine festival
Tampa,ZooBrews,"Mar 27, 2026",Tampa (ZooTampa),Beer,Consumer,https://festivalguidesandreviews.com,Craft beer event at the zoo
St. Petersburg,Safety Harbour Craft Beer Festival,2026 (TBD),Safety Harbour (St. Pete area),Beer,Consumer,https://tampabaybeerweek.com,Part of Tampa Bay Beer Week
Sarasota,Forks & Corks Festival,"Jan 21-25, 2027",Sarasota (various),Wine / Spirits,Consumer,https://eatlikealocal.com/forksandcorks,Sarasota-Manatee Originals signature food & wine festival
Sarasota,Sarasota Wine Festival,Mar 2027,Sarasota,Wine,Consumer,https://sarasotawinefestival.com,Annual wine festival
Naples,Naples Craft Beer Fest,"Mar 6, 2027",Naples Pedestrian Plaza,Beer,Consumer,https://naplescraftbeerfest.com,Annual craft beer festival in downtown Naples
Bonita Springs,Bonita Brew Fest,"Feb 20, 2027",Riverside Park,Beer / Cider / Seltzer,Consumer,https://eventbrite.com,200+ unique beers and ciders. SWFL's biggest beer fest
SWFL (Region),SWFL Wine & Food Fest,2026 (TBD),Southwest Florida,Wine / Food,Consumer + Charity,https://swflwinefest.org,18th annual. Benefits children's charities
Orlando,Summit of the Americas (IAADFS),"Mar 29-31, 2026",Orlando,All Beverage (Travel Retail),Industry (Trade),https://summitoftheamericas.org,Major duty free & travel retail conference with beverage focus
Orlando,Orlando Food Industry Expo (IFT Florida),"Feb 17, 2026",Rosen Shingle Creek Resort,All Food & Beverage,Industry (Trade),https://iftflorida.org,IFT Florida Suppliers Night Expo
Orlando,Orlando Whiskey Festival,2026 (TBD),Orlando,Whiskey,Consumer,https://whiskeynbizz.com,Orlando's first whiskey festival. 100+ brands
Orlando,Orlando Beer Festival,"Nov 14, 2026",Festival Park,Beer,Consumer,https://orlandobeerfestival.com,Annual craft beer festival
Orlando,Central Florida Rum Festival,"Jun 13, 2026",Orlando,Rum,Consumer,https://eventbrite.com,Rum tasting festival
Orlando,Florida Restaurant Show,Sep 2026 (TBD),Orange County Convention Center,All Beverage,Industry (Trade),https://floridarestaurantshow.com,55th year. Premier hospitality event for restaurants & foodservice
Orlando,NABCA Conference,"May 24-27, 2027",Orlando,All Beverage (Regulatory),Industry,https://parkstreet.com/events,National Alcohol Beverage Control Association conference
Orlando,Dairy Forum,"Jan 24-27, 2027",Orlando,Dairy / Beverage,Industry (Trade),https://foodindustryexecutive.com,IDFA dairy industry leaders conference
Daytona Beach,Sunshine EXPO,"Jul 26-28, 2026",Ocean Center Convention Center,Beverage Retailing,Industry (Trade),https://s4.goeshow.com/fpma/sunshineexpo,"FL's #1 conference for fuel, food, grocery & beverage retailing"
Jacksonville,Jacksonville Beer Wine & Spirits Events (Various),Various,Jacksonville,Beer / Wine / Spirits,Consumer,https://festivalguidesandreviews.com,Multiple annual events
St. Augustine,St. Augustine Food + Wine Festival,"May 5-8, 2027",St. Augustine (various),Wine / Spirits / Beer,Consumer,https://staugustinefoodandwinefestival.com,USA Today Top 10. 400+ varieties. Celebrity chefs
St. Augustine,St. Augustine Craft Brewers' Festival,"May 2, 2026",Fountain of Youth Park,Beer,Consumer,https://floridashistoriccoast.com,7th annual. 25+ breweries
St. Augustine,St. Augustine Cocktail Fest,"Apr 27-28, 2026",Embassy Suites St. Augustine,Cocktails / Spirits,Consumer + Industry,https://staugustinecocktailfest.com,History + creativity + spirits celebration
St. Augustine,"Whiskey, Wine & Wildlife Festival","Jan 29-31, 2027",Vilano Beach,Whiskey / Wine / Beer,Consumer,https://whiskeywineandwildlife.com,3-day festival on Vilano Beach
Tallahassee,Tallahassee Beer Festival,"Aug 8, 2026",Tallahassee,Beer,Consumer,https://tlhbeerfest.com,North Florida's largest beer festival
Gainesville,Hogtown Craft Beer Festival,"Mar 27, 2026",Gainesville,Beer,Consumer,https://festivalguidesandreviews.com,Annual craft beer festival
Pensacola,Emerald Coast Beerfest,"Sep 11, 2026","Seville Quarter, Pensacola",Beer,Consumer,https://beerfests.com,30th annual. Largest & longest-running beer fest in NW Florida
Panama City Beach,UNwineD Panama City Beach,"Apr 2-3, 2027",Aaron Bessant Park,Wine / Beer / Spirits,Consumer,https://visitpanamacitybeach.com/unwined,"Presented by Publix. Craft beer, wine, spirits, local chefs"
Panama City Beach,South Walton Beaches Wine & Food Festival,"Apr 23-25, 2026",Grand Boulevard,Wine / Food,Consumer + Charity,https://wjhg.com,Benefiting local charities
30A / Alys Beach,30A Wine Festival,2026 (TBD),Alys Beach,Wine / Spirits,Consumer,https://30awinefestival.com,"Multi-day with wine dinners, bourbon, tequila, grand tasting"
Sandestin,Sandestin Wine Festival,"Apr 9-11, 2027",Sandestin Resort,Wine,Consumer,https://sandestinwinefestival.com,40th annual. 4-day wine festival on the beach
Destin,Destin Food & Wine Festival (Various),Various,Destin,Wine / Beer / Spirits,Consumer,https://emeraldcoastmagazine.com,Multiple events throughout the year
Key West,Rum Fest Key West,"Aug 14, 2026",Key West,Rum,Consumer,https://rumfestkeywest.com,"Rum tasting, rum cake competition, live music"
Key West,Key West Food & Wine Festival,Various (annual),Key West,Wine / Spirits,Consumer,https://visitflorida.com,Multiple events throughout the year
Vero Beach,Florida Craft Brew & WingFest,"Feb 20, 2027",Royal Palm Pointe,Beer,Consumer,https://floridacraftbrewandwingfest.com,Craft beer + wing festival
